"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 23:25:03 BST 2019","Sun Sep 01 23:25:12 BST 2019","8882","","Test the page title: Check weather forecast for specific city","","Test the page title: Check weather forecast for specific city","And I enter edinburgh name","And I enter edinburgh name",""
"passed","Mon Sep 02 00:08:28 BST 2019","Mon Sep 02 00:08:28 BST 2019","139","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I click on a 4 to check hourly forecast","And I click on a 4 to check hourly forecast",""
"passed","Mon Sep 02 00:09:05 BST 2019","Mon Sep 02 00:09:05 BST 2019","25","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display the current climate of selected 2","And I display the current climate of selected 2",""
"passed","Mon Sep 02 00:08:04 BST 2019","Mon Sep 02 00:08:04 BST 2019","24","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display the current climate of selected 1","And I display the current climate of selected 1",""
"passed","Sun Sep 01 23:25:12 BST 2019","Sun Sep 01 23:25:12 BST 2019","128","","Test the page title: Check weather forecast for specific city","","Test the page title: Check weather forecast for specific city","And I click on a 5 to check hourly forecast","And I click on a 5 to check hourly forecast",""
"passed","Mon Sep 02 00:08:34 BST 2019","Mon Sep 02 00:08:34 BST 2019","32","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display dominant wind speed of selected 4","And I display dominant wind speed of selected 4",""
"passed","Mon Sep 02 00:09:06 BST 2019","Mon Sep 02 00:09:14 BST 2019","8712","","To test the weather application.: Error scenarios","","To test the weather application.: Error scenarios","And I enter invalidcity name","And I enter invalidcity name",""
"passed","Sun Sep 01 23:25:28 BST 2019","Sun Sep 01 23:25:28 BST 2019","32","","Test the page title: Error scenarios","","Test the page title: Error scenarios","And I verify blank value for city display error Error retrieving the forecast","And I verify blank value for city display error Error retrieving the forecast",""
"passed","Mon Sep 02 00:08:04 BST 2019","Mon Sep 02 00:08:13 BST 2019","8675","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I enter dundee name","And I enter dundee name",""
"passed","Mon Sep 02 00:08:19 BST 2019","Mon Sep 02 00:08:19 BST 2019","26","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display the current climate of selected 3","And I display the current climate of selected 3",""
"passed","Sun Sep 01 23:25:19 BST 2019","Sun Sep 01 23:25:19 BST 2019","33","","Test the page title: Check weather forecast for specific city","","Test the page title: Check weather forecast for specific city","And I display dominant wind speed of selected 5","And I display dominant wind speed of selected 5",""
"passed","Sun Sep 01 23:25:19 BST 2019","Sun Sep 01 23:25:19 BST 2019","62","","Test the page title: Check weather forecast for specific city","","Test the page title: Check weather forecast for specific city","And I display min and max temperature of selected 5","And I display min and max temperature of selected 5",""
"passed","Sun Sep 01 23:25:03 BST 2019","Sun Sep 01 23:25:03 BST 2019","684","","Test the page title: Check weather forecast for specific city","","Test the page title: Check weather forecast for specific city","Hook","Hook",""
"passed","Mon Sep 02 00:08:04 BST 2019","Mon Sep 02 00:08:04 BST 2019","37","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display the aggregate rainfall of selected 1","And I display the aggregate rainfall of selected 1",""
"passed","Mon Sep 02 00:08:50 BST 2019","Mon Sep 02 00:08:50 BST 2019","277","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","Hook","Hook",""
"passed","Mon Sep 02 00:08:04 BST 2019","Mon Sep 02 00:08:04 BST 2019","62","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display min and max temperature of selected 1","And I display min and max temperature of selected 1",""
"passed","Mon Sep 02 00:09:14 BST 2019","Mon Sep 02 00:09:14 BST 2019","31","","To test the weather application.: Error scenarios","","To test the weather application.: Error scenarios","And I verify blank value for city display error Error retrieving the forecast","And I verify blank value for city display error Error retrieving the forecast",""
"passed","Sun Sep 01 23:25:19 BST 2019","Sun Sep 01 23:25:19 BST 2019","1","","Test the page title: Error scenarios","","Test the page title: Error scenarios","Given I open the site ""/""","Given I open the site ""/""",""
"passed","Mon Sep 02 00:08:50 BST 2019","Mon Sep 02 00:08:50 BST 2019","25","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display the current climate of selected 5","And I display the current climate of selected 5",""
"passed","Mon Sep 02 00:08:34 BST 2019","Mon Sep 02 00:08:34 BST 2019","25","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display the current climate of selected 4","And I display the current climate of selected 4",""
"passed","Mon Sep 02 00:07:33 BST 2019","Mon Sep 02 00:07:42 BST 2019","8892","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I enter edinburgh name","And I enter edinburgh name",""
"passed","Mon Sep 02 00:08:28 BST 2019","Mon Sep 02 00:08:34 BST 2019","6134","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I click on a 4 to hide the wethere forecast","And I click on a 4 to hide the wethere forecast",""
"passed","Mon Sep 02 00:09:05 BST 2019","Mon Sep 02 00:09:05 BST 2019","0","","To test the weather application.: Error scenarios","","To test the weather application.: Error scenarios","Given I open the site ""/""","Given I open the site ""/""",""
"passed","Sun Sep 01 23:25:19 BST 2019","Sun Sep 01 23:25:19 BST 2019","295","","Test the page title: Error scenarios","","Test the page title: Error scenarios","Hook","Hook",""
"passed","Mon Sep 02 00:09:05 BST 2019","Mon Sep 02 00:09:05 BST 2019","65","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display min and max temperature of selected 2","And I display min and max temperature of selected 2",""
"passed","Mon Sep 02 00:08:13 BST 2019","Mon Sep 02 00:08:13 BST 2019","154","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I click on a 3 to check hourly forecast","And I click on a 3 to check hourly forecast",""
"passed","Mon Sep 02 00:08:50 BST 2019","Mon Sep 02 00:08:50 BST 2019","31","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display the aggregate rainfall of selected 5","And I display the aggregate rainfall of selected 5",""
"passed","Mon Sep 02 00:08:34 BST 2019","Mon Sep 02 00:08:35 BST 2019","36","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display the aggregate rainfall of selected 4","And I display the aggregate rainfall of selected 4",""
"passed","Mon Sep 02 00:09:05 BST 2019","Mon Sep 02 00:09:05 BST 2019","43","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display the aggregate rainfall of selected 2","And I display the aggregate rainfall of selected 2",""
"passed","Mon Sep 02 00:07:57 BST 2019","Mon Sep 02 00:08:04 BST 2019","6116","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I click on a 1 to hide the wethere forecast","And I click on a 1 to hide the wethere forecast",""
"passed","Mon Sep 02 00:08:50 BST 2019","Mon Sep 02 00:08:50 BST 2019","74","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display min and max temperature of selected 5","And I display min and max temperature of selected 5",""
"passed","Mon Sep 02 00:09:05 BST 2019","Mon Sep 02 00:09:06 BST 2019","269","","To test the weather application.: Error scenarios","","To test the weather application.: Error scenarios","Hook","Hook",""
"passed","Mon Sep 02 00:08:50 BST 2019","Mon Sep 02 00:08:50 BST 2019","38","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display dominant wind speed of selected 5","And I display dominant wind speed of selected 5",""
"passed","Mon Sep 02 00:08:13 BST 2019","Mon Sep 02 00:08:19 BST 2019","6118","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I click on a 3 to hide the wethere forecast","And I click on a 3 to hide the wethere forecast",""
"passed","Sun Sep 01 23:25:12 BST 2019","Sun Sep 01 23:25:19 BST 2019","6118","","Test the page title: Check weather forecast for specific city","","Test the page title: Check weather forecast for specific city","And I click on a 5 to hide the wethere forecast","And I click on a 5 to hide the wethere forecast",""
"passed","Mon Sep 02 00:08:19 BST 2019","Mon Sep 02 00:08:19 BST 2019","33","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display dominant wind speed of selected 3","And I display dominant wind speed of selected 3",""
"passed","Mon Sep 02 00:07:57 BST 2019","Mon Sep 02 00:07:57 BST 2019","129","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I click on a 1 to check hourly forecast","And I click on a 1 to check hourly forecast",""
"passed","Sun Sep 01 23:25:12 BST 2019","Sun Sep 01 23:25:12 BST 2019","34","","Test the page title: Check weather forecast for specific city","","Test the page title: Check weather forecast for specific city","And I verify five days weather is displayed","And I verify five days weather is displayed",""
"passed","Mon Sep 02 00:08:19 BST 2019","Mon Sep 02 00:08:19 BST 2019","41","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display the aggregate rainfall of selected 3","And I display the aggregate rainfall of selected 3",""
"passed","Mon Sep 02 00:07:49 BST 2019","Mon Sep 02 00:07:57 BST 2019","8714","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I enter aberdeen name","And I enter aberdeen name",""
"passed","Mon Sep 02 00:08:19 BST 2019","Mon Sep 02 00:08:28 BST 2019","8618","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I enter perth name","And I enter perth name",""
"passed","Mon Sep 02 00:08:44 BST 2019","Mon Sep 02 00:08:44 BST 2019","134","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I click on a 5 to check hourly forecast","And I click on a 5 to check hourly forecast",""
